window GOBPID Pvalue OddsRatio ExpCount Count Size Term Pval_corr
Bd1_1525_1575 GO:0023052 0.000762361 5.801724138 1.62132708 7 1022 signaling 0.001168954
Bd1_1625_1675 GO:0033554 0.001089834 6.084965882 1.219823424 6 655 cellular_response_to_stress 0.001634752
Bd1_2050_2100 GO:0044712 0.000732541 6.720272904 1.142226514 6 690 single-organism_catabolic_process 0.000732541
Bd1_2275_2325 GO:0009860 1.21E-08 50.73529412 0.168161126 6 106 pollen_tube_growth 2.54E-07
Bd1_2275_2325 GO:0048868 4.94E-08 39.55974265 0.212581046 6 134 pollen_tube_development 2.77E-07
Bd1_2275_2325 GO:0009932 5.17E-08 39.250342 0.214167471 6 135 cell_tip_growth 2.77E-07
Bd1_2275_2325 GO:0009826 5.28E-08 27.33799342 0.372810043 7 235 unidimensional_cell_growth 2.77E-07
Bd1_2275_2325 GO:0060560 1.33E-07 23.73354008 0.426748517 7 269 developmental_growth_involved_in_morphogenesis 5.16E-07
Bd1_2275_2325 GO:0048588 1.48E-07 32.60721063 0.25541454 6 161 developmental_cell_growth 5.16E-07
Bd1_2275_2325 GO:0000904 6.14E-07 25.31953887 0.325217271 6 205 cell_morphogenesis_involved_in_differentiation 1.83E-06
Bd1_2275_2325 GO:0000902 7.18E-07 18.29863166 0.547316871 7 345 cell_morphogenesis 1.83E-06
Bd1_2275_2325 GO:0016049 8.53E-07 17.81268012 0.561594703 7 354 cell_growth 1.83E-06
Bd1_2275_2325 GO:0048589 8.70E-07 17.76023707 0.563181128 7 355 developmental_growth 1.83E-06
Bd1_2275_2325 GO:0032989 1.09E-06 17.15364583 0.582218237 7 367 cellular_component_morphogenesis 2.04E-06
Bd1_2275_2325 GO:0044706 1.27E-06 22.25247267 0.368050766 6 232 multi-multicellular_organism_process 2.04E-06
Bd1_2275_2325 GO:0009856 1.27E-06 22.25247267 0.368050766 6 232 pollination 2.04E-06
Bd1_2275_2325 GO:0048468 3.54E-06 18.49880616 0.439439923 6 277 cell_development 5.31E-06
Bd1_2275_2325 GO:0040007 5.02E-06 13.48076923 0.73292868 7 462 growth 7.03E-06
Bd1_2275_2325 GO:0044703 2.53E-05 12.91673033 0.620292454 6 391 multi-organism_reproductive_process 3.32E-05
Bd1_2275_2325 GO:0048869 7.05E-05 8.767169331 1.102565871 7 695 cellular_developmental_process 8.71E-05
Bd1_2275_2325 GO:0030154 0.000129308 9.50965251 0.831287074 6 524 cell_differentiation 0.00015086
Bd1_2275_2325 GO:0016043 0.000317674 4.902960526 3.634501311 11 2291 cellular_component_organization 0.000351114
Bd1_2275_2325 GO:0009653 0.000341286 6.694045608 1.419851014 7 895 anatomical_structure_morphogenesis 0.00035835
Bd1_2275_2325 GO:0071840 0.000721935 4.388711182 3.985101393 11 2512 cellular_component_organization_or_biogenesis 0.000721935
Bd1_2300_2350 GO:0009860 1.51E-07 30.78 0.248586012 6 106 pollen_tube_growth 3.32E-06
Bd1_2300_2350 GO:0048868 6.06E-07 24 0.314250241 6 134 pollen_tube_development 4.64E-06
Bd1_2300_2350 GO:0009932 6.33E-07 23.81229236 0.316595392 6 135 cell_tip_growth 4.64E-06
Bd1_2300_2350 GO:0048588 1.78E-06 19.78202765 0.37756932 6 161 developmental_cell_growth 9.77E-06
Bd1_2300_2350 GO:0000904 7.18E-06 15.36073223 0.480755966 6 205 cell_morphogenesis_involved_in_differentiation 3.16E-05
Bd1_2300_2350 GO:0044706 1.45E-05 13.5 0.544075045 6 232 multi-multicellular_organism_process 4.30E-05
Bd1_2300_2350 GO:0009856 1.45E-05 13.5 0.544075045 6 232 pollination 4.30E-05
Bd1_2300_2350 GO:0009826 1.56E-05 13.32033687 0.551110498 6 235 unidimensional_cell_growth 4.30E-05
Bd1_2300_2350 GO:0044703 2.82E-05 9.50617284 0.916954063 7 391 multi-organism_reproductive_process 6.89E-05
Bd1_2300_2350 GO:0060560 3.35E-05 11.5706138 0.630845634 6 269 developmental_growth_involved_in_morphogenesis 7.38E-05
Bd1_2300_2350 GO:0048468 3.95E-05 11.22272008 0.649606842 6 277 cell_development 7.90E-05
Bd1_2300_2350 GO:0000902 0.000133109 8.928571429 0.809077114 6 345 cell_morphogenesis 0.000244034
Bd1_2300_2350 GO:0016049 0.000153204 8.692118227 0.830183474 6 354 cell_growth 0.000244479
Bd1_2300_2350 GO:0048589 0.000155577 8.666598445 0.832528625 6 355 developmental_growth 0.000244479
Bd1_2300_2350 GO:0030154 0.000178038 6.993982377 1.228859153 7 524 cell_differentiation 0.000256314
Bd1_2300_2350 GO:0032989 0.00018641 8.371388999 0.860670437 6 367 cellular_component_morphogenesis 0.000256314
Bd1_2300_2350 GO:0044702 0.000466981 4.377817555 2.971306387 10 1267 single_organism_reproductive_process 0.000604328
Bd1_2300_2350 GO:0040007 0.000638258 6.582706767 1.083459788 6 462 growth 0.000780093
Bd1_2300_2350 GO:0048869 0.000976927 5.19121447 1.629879983 7 695 cellular_developmental_process 0.001131179
Bd1_2300_2350 GO:0022414 0.00143457 3.733930211 3.428610843 10 1462 reproductive_process 0.001534681
Bd1_2300_2350 GO:0000003 0.001464923 3.722527473 3.437991447 10 1466 reproduction 0.001534681
Bd1_2300_2350 GO:0003006 0.001643342 3.908065574 2.882190647 9 1229 developmental_process_involved_in_reproduction 0.001643342
Bd1_2325_2375 GO:0006979 0.000114994 9.318783069 0.794592358 6 384 response_to_oxidative_stress 0.000574969
Bd1_2400_2450 GO:1902589 0.000622008 5.826646341 1.540143468 7 827 single-organism_organelle_organization 0.001399518
Bd1_2600_2650 GO:1901137 1.50E-05 11.31168831 0.86618844 7 546 carbohydrate_derivative_biosynthetic_process 4.49E-05
Bd1_2600_2650 GO:1901135 0.000129023 6.925603865 1.65464202 8 1043 carbohydrate_derivative_metabolic_process 0.000174181
Bd1_2750_2800 GO:0007178 4.05E-10 89.99376299 0.094909643 6 43 transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway 1.22E-09
Bd1_2750_2800 GO:0007167 4.82E-09 57.32625995 0.141260864 6 64 enzyme_linked_receptor_protein_signaling_pathway 1.33E-08
Bd1_2750_2800 GO:0007166 3.60E-08 39.98980538 0.196440888 6 89 cell_surface_receptor_signaling_pathway 6.44E-08
Bd1_2750_2800 GO:0009751 6.60E-07 23.78583287 0.320044144 6 145 response_to_salicylic_acid 8.06E-07
Bd1_2750_2800 GO:0014070 7.30E-05 10.07264957 0.728376328 6 330 response_to_organic_cyclic_compound 7.78E-05
Bd1_2750_2800 GO:0022607 0.000168355 6.182882883 1.650986343 8 748 cellular_component_assembly 0.000173616
Bd1_2750_2800 GO:0044085 0.001846711 4.198621554 2.366119465 8 1072 cellular_component_biogenesis 0.001846711
Bd1_2775_2825 GO:0007178 6.12E-11 130.0630631 0.071182232 6 43 transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway 1.84E-10
Bd1_2775_2825 GO:0007167 7.36E-10 82.85057471 0.105945648 6 64 enzyme_linked_receptor_protein_signaling_pathway 2.02E-09
Bd1_2775_2825 GO:0009751 2.60E-09 42.77578858 0.240033108 7 145 response_to_salicylic_acid 6.60E-09
Bd1_2775_2825 GO:0007166 5.56E-09 57.79518072 0.147330666 6 89 cell_surface_receptor_signaling_pathway 1.31E-08
Bd1_2775_2825 GO:0014070 7.37E-07 18.03988345 0.546282246 7 330 response_to_organic_cyclic_compound 1.43E-06
Bd1_2775_2825 GO:0022607 1.70E-05 9.27972973 1.238239757 8 748 cellular_component_assembly 3.12E-05
Bd1_2775_2825 GO:0001101 0.000148775 7.653028735 1.234928956 7 746 response_to_acid_chemical 0.000258398
Bd1_2775_2825 GO:0044085 0.000219394 6.301691729 1.774589599 8 1072 cellular_component_biogenesis 0.000362
Bd1_2775_2825 GO:0006468 0.000248075 5.625376344 2.324182646 9 1404 protein_phosphorylation 0.000389832
Bd1_2775_2825 GO:0016310 0.00062461 4.603909465 3.234653056 10 1954 phosphorylation 0.000936916
Bd1_2775_2825 GO:0006793 0.00076518 4.139914773 4.681473307 12 2828 phosphorus_metabolic_process 0.001097867
Bd1_2775_2825 GO:0007165 0.000802534 5.694672131 1.627258932 7 983 signal_transduction 0.001103484
Bd1_2775_2825 GO:0006464 0.00093269 4.158844425 4.068975031 11 2458 cellular_protein_modification_process 0.001183798
Bd1_2775_2825 GO:0036211 0.00093269 4.158844425 4.068975031 11 2458 protein_modification_process 0.001183798
Bd1_2775_2825 GO:0044700 0.001005591 5.465831303 1.690164161 7 1021 single_organism_signaling 0.001192055
Bd1_2775_2825 GO:0023052 0.00101144 5.460040568 1.691819561 7 1022 signaling 0.001192055
Bd1_2775_2825 GO:0010033 0.00105482 4.884672619 2.238101807 8 1352 response_to_organic_substance 0.001200312
Bd1_2775_2825 GO:0042221 0.001178339 4.197149644 3.501172576 10 2115 response_to_chemical 0.001296173
Bd1_2775_2825 GO:1901700 0.001704356 4.957498675 1.849082632 7 1117 response_to_oxygen-containing_compound 0.001704356
Bd1_2950_3000 GO:0034645 0.000417305 4.277037037 5.06621603 13 2938 cellular_macromolecule_biosynthetic_process 0.000786784
Bd1_2950_3000 GO:0009059 0.000471302 4.213654279 5.126569182 13 2973 macromolecule_biosynthetic_process 0.000786784
Bd1_2950_3000 GO:0044249 0.000482659 4.124901226 7.54414402 16 4375 cellular_biosynthetic_process 0.000786784
Bd1_2950_3000 GO:0009058 0.001036583 3.769824158 8.025244861 16 4654 biosynthetic_process 0.001377039
Bd1_2975_3025 GO:0006796 1.09E-05 5.113910045 5.972065112 17 2793 phosphate-containing_compound_metabolic_process 9.01E-05
Bd1_2975_3025 GO:0006793 1.30E-05 5.035117142 6.046903021 17 2828 phosphorus_metabolic_process 9.01E-05
Bd1_2975_3025 GO:0006468 1.59E-05 5.932395644 3.002069251 12 1404 protein_phosphorylation 9.01E-05
Bd1_2975_3025 GO:0006464 5.16E-05 4.614203848 5.255759415 15 2458 cellular_protein_modification_process 0.000140291
Bd1_2975_3025 GO:0036211 5.16E-05 4.614203848 5.255759415 15 2458 protein_modification_process 0.000140291
Bd1_2975_3025 GO:0044267 0.00016072 3.970800304 7.280659401 17 3405 cellular_protein_metabolic_process 0.000283471
Bd1_2975_3025 GO:0043412 0.000166747 4.089487583 5.801007035 15 2713 macromolecule_modification 0.000283471
Bd1_2975_3025 GO:0016310 0.000408611 4.073391512 4.17809353 12 1954 phosphorylation 0.000578866
Bd1_2975_3025 GO:0044260 0.000775772 3.492063492 12.78445303 22 5979 cellular_macromolecule_metabolic_process 0.000942009
Bd1_2975_3025 GO:0019538 0.001026343 3.264824798 8.422472065 17 3939 protein_metabolic_process 0.001026343
Bd1_3000_3050 GO:0006468 2.45E-10 10.61525974 3.292592082 18 1404 protein_phosphorylation 4.66E-09
Bd1_3000_3050 GO:0016310 6.55E-09 8.201584841 4.582425162 19 1954 phosphorylation 5.07E-08
Bd1_3000_3050 GO:0006796 8.38E-09 7.736256466 6.550006898 22 2793 phosphate-containing_compound_metabolic_process 5.07E-08
Bd1_3000_3050 GO:0006793 1.07E-08 7.616892373 6.632087184 22 2828 phosphorus_metabolic_process 5.07E-08
Bd1_3000_3050 GO:0006464 1.75E-06 5.543852459 5.764381294 18 2458 cellular_protein_modification_process 5.56E-06
Bd1_3000_3050 GO:0036211 1.75E-06 5.543852459 5.764381294 18 2458 protein_modification_process 5.56E-06
Bd1_3000_3050 GO:0043412 7.59E-06 4.912847866 6.362394813 18 2713 macromolecule_modification 2.06E-05
Bd1_3000_3050 GO:0044267 1.04E-05 4.675669973 7.985239343 20 3405 cellular_protein_metabolic_process 2.47E-05
Bd1_3000_3050 GO:0019538 2.44E-05 4.348097538 9.237550007 21 3939 protein_metabolic_process 5.15E-05
Bd1_3000_3050 GO:0044238 0.000184834 5.290944464 19.95958063 30 8511 primary_metabolic_process 0.000270141
Bd1_3000_3050 GO:0044260 0.000507742 3.429319899 14.02165816 24 5979 cellular_macromolecule_metabolic_process 0.000643139
Bd1_3000_3050 GO:0071704 0.000723878 4.594993868 21.10401435 30 8999 organic_substance_metabolic_process 0.000859605
Bd1_3000_3050 GO:0043170 0.000793726 3.360920126 15.40764243 25 6570 macromolecule_metabolic_process 0.000887106
Bd1_3175_3225 GO:1901657 1.78E-05 10.48879641 0.866119465 7 433 glycosyl_compound_metabolic_process 0.00028522
Bd1_3450_3500 GO:0006952 0.000513187 6.117919075 1.503655677 7 872 defense_response 0.000513187
Bd1_3475_3525 GO:0006952 1.73E-05 7.884125145 1.623948131 9 872 defense_response 5.19E-05
Bd1_3475_3525 GO:0006950 0.001467439 3.611890244 4.909090909 12 2636 response_to_stress 0.001862326
Bd1_3500_3550 GO:0065008 0.001644407 5.6975 1.334253 6 806 regulation_of_biological_quality 0.001655401
Bd1_3525_3575 GO:0009314 0.001863831 5.448781454 1.353910884 6 727 response_to_radiation 0.001863831
Bd1_3750_3800 GO:0043412 3.06E-05 6.299917695 4.116843703 13 2713 macromolecule_modification 0.000244423
Bd1_3750_3800 GO:0043170 0.000504633 5.442307692 9.969650986 18 6570 macromolecule_metabolic_process 0.001727758
Bd1_3750_3800 GO:0044260 0.000647909 4.855350554 9.072837633 17 5979 cellular_macromolecule_metabolic_process 0.001727758
Bd1_3750_3800 GO:0006464 0.001721437 4.094498911 3.729893778 10 2458 cellular_protein_modification_process 0.001823086
Bd1_3750_3800 GO:0036211 0.001721437 4.094498911 3.729893778 10 2458 protein_modification_process 0.001823086
Bd1_4050_4100 GO:0071310 0.000251576 8.365187713 0.939164023 6 592 cellular_response_to_organic_substance 0.001747932
Bd1_4050_4100 GO:0070887 0.000426556 7.543231203 1.035935991 6 653 cellular_response_to_chemical_stimulus 0.001747932
Bd1_4050_4100 GO:0042221 0.000789813 4.520372739 3.355290385 10 2115 response_to_chemical 0.001747932
Bd1_4350_4400 GO:0007154 0.001793182 4.317196414 2.385156573 8 1235 cell_communication 0.001905256
Bd1_4375_4425 GO:0071310 0.000960987 6.180293812 1.184163333 6 592 cellular_response_to_organic_substance 0.001108832
Bd1_4375_4425 GO:0070887 0.001594405 5.573012566 1.306180163 6 653 cellular_response_to_chemical_stimulus 0.001594405
Bd1_4475_4525 GO:0007165 0.001625027 5.92235707 1.35604911 6 983 signal_transduction 0.001934556
Bd1_4475_4525 GO:0044700 0.001975583 5.684588318 1.408470134 6 1021 single_organism_signaling 0.001985534
Bd1_4475_4525 GO:0023052 0.001985534 5.678571429 1.409849634 6 1022 signaling 0.001985534
Bd1_4500_4550 GO:0055085 0.001905671 5.566900688 1.378603945 6 869 transmembrane_transport 0.001905671
Bd1_450_500 GO:0019438 0.001843628 3.923924886 3.706442268 10 2239 aromatic_compound_biosynthetic_process 0.001843628
Bd1_4550_4600 GO:0006979 1.73E-05 13.98611111 0.582701062 6 384 response_to_oxidative_stress 0.000121017
Bd1_4575_4625 GO:0006979 4.88E-05 11.18571429 0.68864671 6 384 response_to_oxidative_stress 0.000292597
Bd1_4650_4700 GO:0015979 1.53E-13 31.37276786 0.798937785 13 429 photosynthesis 3.22E-12
Bd1_4650_4700 GO:0006091 2.84E-05 8.358562111 1.307352738 8 702 generation_of_precursor_metabolites_and_energy 0.000203442
Bd1_4650_4700 GO:0022900 2.91E-05 12.24329004 0.625741482 6 336 electron_transport_chain 0.000203442
Bd1_4650_4700 GO:0055114 0.000122416 5.195890006 3.169678576 11 1702 oxidation-reduction_process 0.000642686
Bd1_4675_4725 GO:0015979 1.42E-12 31.11455451 0.739757208 12 429 photosynthesis 1.28E-11
Bd1_4675_4725 GO:0022900 1.81E-05 13.53397129 0.579390261 6 336 electron_transport_chain 8.14E-05
Bd1_4675_4725 GO:0006091 0.000135352 7.70951239 1.210511795 7 702 generation_of_precursor_metabolites_and_energy 0.000304543
Bd1_4675_4725 GO:0044237 0.001558811 5.179674605 14.6640916 22 8504 cellular_metabolic_process 0.001734999
Bd1_4800_4850 GO:0006468 0.00063874 6.556048676 1.646296041 7 1404 protein_phosphorylation 0.00191622
Bd1_4800_4850 GO:0043412 0.001572795 4.899824334 3.181197407 9 2713 macromolecule_modification 0.001920148
Bd1_5000_5050 GO:0006629 0.001643005 5.088815789 1.855842185 7 1223 lipid_metabolic_process 0.001643005
Bd1_5025_5075 GO:0006629 0.000867436 5.872596154 1.687129259 7 1223 lipid_metabolic_process 0.000978729
Bd1_5275_5325 GO:0071554 1.53E-05 14.44820513 0.573596358 6 396 cell_wall_organization_or_biogenesis 2.30E-05
Bd1_5650_5700 GO:0006629 3.80E-05 7.562919782 1.855842185 9 1223 lipid_metabolic_process 7.60E-05
Bd1_6225_6275 GO:0050896 0.000661277 4.246025034 7.058008001 15 4449 response_to_stimulus 0.000734753
Bd1_650_700 GO:0015979 9.65E-16 23.17941748 1.242792109 17 429 photosynthesis 2.12E-14
Bd1_650_700 GO:0022900 1.17E-10 17.44691358 0.973375638 12 336 electron_transport_chain 1.29E-09
Bd1_650_700 GO:0019684 5.59E-10 17.51815219 0.863291488 11 298 photosynthesis_light_reaction 4.10E-09
Bd1_650_700 GO:0022904 1.06E-09 45.69206349 0.202786591 7 70 respiratory_electron_transport_chain 5.84E-09
Bd1_650_700 GO:0006091 5.12E-09 10.00581395 2.033659815 14 702 generation_of_precursor_metabolites_and_energy 2.25E-08
Bd1_650_700 GO:0009767 6.34E-09 34.63373494 0.260725617 7 90 photosynthetic_electron_transport_chain 2.32E-08
Bd1_650_700 GO:0045333 8.68E-08 23.11612903 0.379500621 7 131 cellular_respiration 2.73E-07
Bd1_650_700 GO:0015980 1.44E-07 21.3761194 0.408470134 7 141 energy_derivation_by_oxidation_of_organic_compounds 3.96E-07
Bd1_650_700 GO:0055114 4.66E-05 4.205031944 4.930611119 15 1702 oxidation-reduction_process 0.000102463
Bd1_650_700 GO:0006412 0.000145317 5.424592748 2.030762864 9 701 translation 0.000290634
Bd1_650_700 GO:0043043 0.000160039 5.351445986 2.056835426 9 710 peptide_biosynthetic_process 0.000293404
Bd1_650_700 GO:0043604 0.000214089 5.135428358 2.137950062 9 738 amide_biosynthetic_process 0.000362305
Bd1_650_700 GO:0006518 0.000232077 5.076723819 2.161125673 9 746 peptide_metabolic_process 0.000364693
Bd1_650_700 GO:0043603 0.00043463 4.637042907 2.352324459 9 812 cellular_amide_metabolic_process 0.000637457
Bd1_650_700 GO:1901564 0.001603749 2.980019259 6.057525176 14 2091 organonitrogen_compound_metabolic_process 0.001764124
Bd1_650_700 GO:0044237 0.001899156 3.003600945 24.63567389 34 8504 cellular_metabolic_process 0.001899156
Bd1_6525_6575 GO:0008610 0.001090058 6.157894737 1.227755552 6 712 lipid_biosynthetic_process 0.001724376
Bd1_6650_6700 GO:0006952 4.22E-06 12.60740741 1.082632087 8 872 defense_response 8.45E-06
Bd1_6650_6700 GO:0006950 0.000407187 5.642612338 3.272727273 10 2636 response_to_stress 0.000407187
Bd1_6675_6725 GO:0006952 0.000107827 8.474077368 1.202924541 7 872 defense_response 0.000215655
Bd1_6700_6750 GO:0007178 3.56E-37 1223.111111 0.068216306 16 43 transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway 1.10E-35
Bd1_6700_6750 GO:0007167 6.49E-34 687 0.101531246 16 64 enzyme_linked_receptor_protein_signaling_pathway 1.01E-32
Bd1_6700_6750 GO:0007166 2.32E-31 450.9432485 0.141191889 16 89 cell_surface_receptor_signaling_pathway 2.39E-30
Bd1_6700_6750 GO:0009751 9.90E-28 254.192691 0.230031729 16 145 response_to_salicylic_acid 7.67E-27
Bd1_6700_6750 GO:0014070 7.68E-22 103.0828025 0.523520486 16 330 response_to_organic_cyclic_compound 4.76E-21
Bd1_6700_6750 GO:0001101 3.61E-16 43.037182 1.183473583 16 746 response_to_acid_chemical 1.87E-15
Bd1_6700_6750 GO:0007165 2.77E-14 31.92908849 1.559456477 16 983 signal_transduction 1.23E-13
Bd1_6700_6750 GO:0044700 5.01E-14 30.63539446 1.619740654 16 1021 single_organism_signaling 1.75E-13
Bd1_6700_6750 GO:0023052 5.09E-14 30.6026697 1.62132708 16 1022 signaling 1.75E-13
Bd1_6700_6750 GO:1901700 2.03E-13 27.76488906 1.772037522 16 1117 response_to_oxygen-containing_compound 6.31E-13
Bd1_6700_6750 GO:0007154 9.68E-13 24.85597094 1.959235757 16 1235 cell_communication 2.73E-12
Bd1_6700_6750 GO:0010033 3.92E-12 22.47904192 2.144847565 16 1352 response_to_organic_substance 1.01E-11
Bd1_6700_6750 GO:0006468 7.01E-12 21.55125566 2.227341702 16 1404 protein_phosphorylation 1.67E-11
Bd1_6700_6750 GO:0051716 7.29E-11 18.13756614 2.595392468 16 1636 cellular_response_to_stimulus 1.61E-10
Bd1_6700_6750 GO:0016310 1.08E-09 14.78637771 3.099875845 16 1954 phosphorylation 2.22E-09
Bd1_6700_6750 GO:0042221 3.53E-09 13.47689376 3.355290385 16 2115 response_to_chemical 6.83E-09
Bd1_6700_6750 GO:0050794 5.72E-09 13.79319092 4.781487102 18 3014 regulation_of_cellular_process 1.04E-08
Bd1_6700_6750 GO:0006464 3.28E-08 11.26289926 3.899434405 16 2458 cellular_protein_modification_process 5.35E-08
Bd1_6700_6750 GO:0036211 3.28E-08 11.26289926 3.899434405 16 2458 protein_modification_process 5.35E-08
Bd1_6700_6750 GO:0050789 7.56E-08 11.28857143 5.581045661 18 3518 regulation_of_biological_process 1.17E-07
Bd1_6700_6750 GO:0043412 1.39E-07 9.981884634 4.303972962 16 2713 macromolecule_modification 2.05E-07
Bd1_6700_6750 GO:0006796 2.12E-07 9.628478831 4.430887019 16 2793 phosphate-containing_compound_metabolic_process 2.99E-07
Bd1_6700_6750 GO:0006793 2.54E-07 9.480186954 4.486411919 16 2828 phosphorus_metabolic_process 3.43E-07
Bd1_6700_6750 GO:0065007 2.80E-07 10.14571353 6.042695544 18 3809 biological_regulation 3.62E-07
Bd1_6700_6750 GO:0050896 3.47E-06 8.160324983 7.058008001 18 4449 response_to_stimulus 4.30E-06
Bd1_6700_6750 GO:0044267 3.60E-06 7.476963285 5.401779556 16 3405 cellular_protein_metabolic_process 4.30E-06
Bd1_6700_6750 GO:0019538 4.03E-06 7.623703893 6.248930887 17 3939 protein_metabolic_process 4.62E-06
Bd1_6700_6750 GO:0044763 0.000824346 4.624431818 10.08014899 18 6354 single-organism_cellular_process 0.000912669
Bd1_6700_6750 GO:0043170 0.001335129 4.353296703 10.42281694 18 6570 macromolecule_metabolic_process 0.001427207
Bd1_6700_6750 GO:0044260 0.0015283 4.045650229 9.485239343 17 5979 cellular_macromolecule_metabolic_process 0.001579244
Bd1_6725_6775 GO:0007178 5.75E-33 703.4415584 0.077114085 15 43 transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway 1.84E-31
Bd1_6725_6775 GO:0007167 5.97E-30 401.3821892 0.114774452 15 64 enzyme_linked_receptor_protein_signaling_pathway 9.54E-29
Bd1_6725_6775 GO:0007166 1.40E-27 265.3194103 0.159608222 15 89 cell_surface_receptor_signaling_pathway 1.50E-26
Bd1_6725_6775 GO:0009751 3.36E-24 150.4405594 0.260035867 15 145 response_to_salicylic_acid 2.69E-23
Bd1_6725_6775 GO:0014070 1.02E-18 61.28571429 0.591805766 15 330 response_to_organic_cyclic_compound 6.56E-18
Bd1_6725_6775 GO:0001101 2.10E-16 35.6090535 1.337839702 17 746 response_to_acid_chemical 1.12E-15
Bd1_6725_6775 GO:0007165 2.07E-14 26.40924776 1.762863843 17 983 signal_transduction 9.45E-14
